image_id,file_name,source_file_name,source_stem,source_scene_id,num_objects,mask_area_pixels,mask_area_ratio,mean_bbox_fill_ratio,median_bbox_fill_ratio,max_pair_bbox_iou,num_bbox_overlap_pairs,has_bbox_overlap,overlap_group,area_group,stratum,split,area_threshold,stratify_by,no_overlap_iou_max,overlap_iou_min,selected_eval,source_image_id
39,P0036_0003.png,P0036_0003.png,P0036_0003,P0036,2,7285,0.0069475173950195,0.2504899251470886,0.2504899251470886,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,48
40,P0036_0005.png,P0036_0005.png,P0036_0005,P0036,1,8237,0.0078554153442382,0.1573718499837603,0.1573718499837603,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,49
41,P0036_0006.png,P0036_0006.png,P0036_0006,P0036,2,10925,0.0104188919067382,0.2166063607739561,0.2166063607739561,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,50
42,P0036_0007.png,P0036_0007.png,P0036_0007,P0036,1,3098,0.0029544830322265,0.1850657108721624,0.1850657108721624,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,51
43,P0036_0008.png,P0036_0008.png,P0036_0008,P0036,5,15977,0.0152368545532226,0.1934212084996856,0.1904583020285499,0.0932449949589514,2,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,52
44,P0036_0009.png,P0036_0009.png,P0036_0009,P0036,2,5806,0.0055370330810546,0.1934596032187618,0.1934596032187618,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,53
45,P0036_0010.png,P0036_0010.png,P0036_0010,P0036,3,50803,0.0484495162963867,0.1949684445173426,0.1785274562915538,0.0865420483275997,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,54
46,P0036_0011.png,P0036_0011.png,P0036_0011,P0036,5,39233,0.0374155044555664,0.1798002515034106,0.1802925084175084,0.1251512817691715,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,55
47,P0036_0012.png,P0036_0012.png,P0036_0012,P0036,3,13467,0.0128431320190429,0.1762600951045295,0.187683284457478,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,56
48,P0036_0013.png,P0036_0013.png,P0036_0013,P0036,1,4625,0.0044107437133789,0.2260508308895405,0.2260508308895405,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,57
49,P0036_0014.png,P0036_0014.png,P0036_0014,P0036,2,8598,0.0081996917724609,0.2443168829673966,0.2443168829673966,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,58
50,P0036_0015.png,P0036_0015.png,P0036_0015,P0036,1,11358,0.0108318328857421,0.2165903890160183,0.2165903890160183,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,59
51,P0036_0016.png,P0036_0016.png,P0036_0016,P0036,6,57130,0.054483413696289,0.1661002186657219,0.1615111691360237,0.0686540011990159,4,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,60
52,P0036_0017.png,P0036_0017.png,P0036_0017,P0036,2,29884,0.0284996032714843,0.2283952901420251,0.2283952901420251,0.0689065624570669,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,61
53,P0036_0021.png,P0036_0021.png,P0036_0021,P0036,2,13390,0.0127696990966796,0.2226792660132691,0.2226792660132691,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,62
54,P0036_0022.png,P0036_0022.png,P0036_0022,P0036,2,21095,0.0201177597045898,0.1790722905865711,0.1790722905865711,0.0128915817970865,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,63
55,P0036_0023.png,P0036_0023.png,P0036_0023,P0036,3,22975,0.0219106674194335,0.174331723540118,0.1686377946056326,0.0686540011990159,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,64
56,P0038_0000.png,P0038_0000.png,P0038_0000,P0038,2,30149,0.028752326965332,0.1883234337476974,0.1883234337476974,0.0252865662332372,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,65
57,P0038_0001.png,P0038_0001.png,P0038_0001,P0038,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,66
58,P0038_0004.png,P0038_0004.png,P0038_0004,P0038,2,57823,0.0551443099975585,0.1701528687519993,0.1701528687519993,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,67
59,P0038_0005.png,P0038_0005.png,P0038_0005,P0038,1,25560,0.0243759155273437,0.1827541827541827,0.1827541827541827,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,68
60,P0038_0006.png,P0038_0006.png,P0038_0006,P0038,2,92978,0.0886707305908203,0.1915530582934736,0.1915530582934736,0.0468023500423965,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,69
61,P0038_0007.png,P0038_0007.png,P0038_0007,P0038,2,22717,0.0216646194458007,0.102889126131395,0.102889126131395,0.0974747397778014,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,70
62,P0038_0008.png,P0038_0008.png,P0038_0008,P0038,1,24192,0.0230712890625,0.2553434026788259,0.2553434026788259,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,71
63,P0038_0013.png,P0038_0013.png,P0038_0013,P0038,2,19401,0.0185022354125976,0.0688441612456937,0.0688441612456937,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,72
64,P0038_0014.png,P0038_0014.png,P0038_0014,P0038,1,81336,0.0775680541992187,0.4113488089819451,0.4113488089819451,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,73
65,P0039_0012.png,P0039_0012.png,P0039_0012,P0039,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,10
66,P0039_0016.png,P0039_0016.png,P0039_0016,P0039,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,11
67,P0042_0000.png,P0042_0000.png,P0042_0000,P0042,1,1685,0.0016069412231445,0.2806462358427715,0.2806462358427715,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,83
68,P0042_0001.png,P0042_0001.png,P0042_0001,P0042,16,38316,0.0365409851074218,0.2273535973489452,0.2279896890566745,0.2378367091250783,10,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,84
69,P0042_0002.png,P0042_0002.png,P0042_0002,P0042,16,36755,0.0350522994995117,0.2210422383152256,0.2165928869891476,0.2378367091250783,10,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,85
70,P0042_0003.png,P0042_0003.png,P0042_0003,P0042,13,25323,0.0241498947143554,0.2433092347179594,0.239806704922984,0.0969497476409918,9,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,86
71,P0042_0004.png,P0042_0004.png,P0042_0004,P0042,12,26904,0.0256576538085937,0.2181282771519378,0.2100530361376865,0.0372529964366699,3,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,87
72,P0042_0005.png,P0042_0005.png,P0042_0005,P0042,9,19571,0.0186643600463867,0.2078298808379814,0.2019010160603081,0.0685352365647303,3,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,88
73,P0042_0006.png,P0042_0006.png,P0042_0006,P0042,13,25889,0.0246896743774414,0.2504454926578608,0.2482419127988748,0.0969497476409918,9,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,89
74,P0042_0007.png,P0042_0007.png,P0042_0007,P0042,10,22306,0.0212726593017578,0.2142735986395568,0.2145313843319973,0.0372529964366699,3,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,90
75,P0042_0008.png,P0042_0008.png,P0042_0008,P0042,7,15209,0.0145044326782226,0.1939880306249291,0.2041953457882661,0.0372529964366699,2,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,91
76,P0063_0002.png,P0063_0002.png,P0063_0002,P0063,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,92
77,P0063_0008.png,P0063_0008.png,P0063_0008,P0063,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,93
78,P0065_0009.png,P0065_0009.png,P0065_0009,P0065,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,95
79,P0070_0002.png,P0070_0002.png,P0070_0002,P0070,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,98
80,P0082_0034.png,P0082_0034.png,P0082_0034,P0082,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,99
81,P0087_0006.png,P0087_0006.png,P0087_0006,P0087,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,12
82,P0087_0022.png,P0087_0022.png,P0087_0022,P0087,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,13
83,P0096_0000.png,P0096_0000.png,P0096_0000,P0096,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,101
84,P0098_0001.png,P0098_0001.png,P0098_0001,P0098,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,14
85,P0122_0002.png,P0122_0002.png,P0122_0002,P0122,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,125
86,P0128_0002.png,P0128_0002.png,P0128_0002,P0128,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,126
87,P0133_0001.png,P0133_0001.png,P0133_0001,P0133,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,127
88,P0133_0002.png,P0133_0002.png,P0133_0002,P0133,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,128
89,P0140_0001.png,P0140_0001.png,P0140_0001,P0140,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,129
90,P0141_0000.png,P0141_0000.png,P0141_0000,P0141,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,130
91,P0141_0007.png,P0141_0007.png,P0141_0007,P0141,0,0,0.0,0.0,0.0,0.0,0,False,no_overlap,low_mask_area,negative,train,0.011932373046875,mask_area,0.0,0.001,False,131
92,P0160_0000.png,P0160_0000.png,P0160_0000,P0160,1,1030,0.0009822845458984,0.2351598173515981,0.2351598173515981,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,21
93,P0160_0004.png,P0160_0004.png,P0160_0004,P0160,5,16754,0.0159778594970703,0.215449256175348,0.223972602739726,0.0024468857051249,2,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,22
94,P0160_0005.png,P0160_0005.png,P0160_0005,P0160,9,36034,0.0343647003173828,0.2576611943002546,0.2644099968364441,0.0291290909860705,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,23
95,P0160_0006.png,P0160_0006.png,P0160_0006,P0160,2,5093,0.004857063293457,0.3039497972561833,0.3039497972561833,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,24
96,P0160_0007.png,P0160_0007.png,P0160_0007,P0160,1,2072,0.0019760131835937,0.2449172576832151,0.2449172576832151,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,25
97,P0160_0008.png,P0160_0008.png,P0160_0008,P0160,4,14036,0.0133857727050781,0.2962113734078024,0.2789650124969434,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,26
98,P0160_0009.png,P0160_0009.png,P0160_0009,P0160,6,20167,0.0192327499389648,0.2893439947266344,0.2608792029466623,0.0387153541575011,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,27
99,P0160_0010.png,P0160_0010.png,P0160_0010,P0160,2,2633,0.0025110244750976,0.2593526529362838,0.2593526529362838,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,28
100,P0160_0011.png,P0160_0011.png,P0160_0011,P0160,2,2615,0.0024938583374023,0.2569389070715471,0.2569389070715471,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,29
101,P0160_0012.png,P0160_0012.png,P0160_0012,P0160,2,7098,0.0067691802978515,0.318964487918807,0.318964487918807,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,30
102,P0160_0013.png,P0160_0013.png,P0160_0013,P0160,5,13452,0.0128288269042968,0.4059706557723735,0.4171245421245421,0.0,0,False,no_overlap,high_mask_area,no_overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,31
103,P0160_0014.png,P0160_0014.png,P0160_0014,P0160,1,1259,0.0012006759643554,0.4014668367346938,0.4014668367346938,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,32
104,P0160_0015.png,P0160_0015.png,P0160_0015,P0160,1,1221,0.001164436340332,0.3893494897959184,0.3893494897959184,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,33
105,P0161_0000.png,P0161_0000.png,P0161_0000,P0161,1,1629,0.0015535354614257,0.1766428106701366,0.1766428106701366,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,132
106,P0161_0001.png,P0161_0001.png,P0161_0001,P0161,1,1654,0.0015773773193359,0.1793537193667317,0.1793537193667317,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,133
107,P0161_0004.png,P0161_0004.png,P0161_0004,P0161,4,7132,0.0068016052246093,0.1871805752264574,0.1796572697276379,0.0,0,False,no_overlap,low_mask_area,no_overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,134
108,P0161_0005.png,P0161_0005.png,P0161_0005,P0161,8,11428,0.0108985900878906,0.2625832480546421,0.2630965302544162,0.0949715544136538,1,True,overlap,low_mask_area,overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,135
109,P0161_0006.png,P0161_0006.png,P0161_0006,P0161,3,14123,0.0134687423706054,0.2545104464876307,0.25762129669386,0.0127032798554454,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,136
110,P0161_0007.png,P0161_0007.png,P0161_0007,P0161,3,13158,0.0125484466552734,0.2371437420797407,0.2415751609238924,0.0127032798554454,1,True,overlap,high_mask_area,overlap__high_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,137
111,P0161_0008.png,P0161_0008.png,P0161_0008,P0161,5,8989,0.0085725784301757,0.1688339046734149,0.1652994257588187,0.0777533730781299,1,True,overlap,low_mask_area,overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,138
112,P0161_0009.png,P0161_0009.png,P0161_0009,P0161,4,8527,0.008131980895996,0.1608055198528473,0.1625630898140536,0.0949715544136538,1,True,overlap,low_mask_area,overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,139
113,P0162_0000.png,P0162_0000.png,P0162_0000,P0162,11,1451,0.0013837814331054,0.4901969051709536,0.5055555555555555,0.025096525096525,1,True,overlap,low_mask_area,overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,18
114,P0162_0001.png,P0162_0001.png,P0162_0001,P0162,11,1471,0.0014028549194335,0.5071592725653917,0.4916666666666666,0.025096525096525,1,True,overlap,low_mask_area,overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,19
115,P0162_0002.png,P0162_0002.png,P0162_0002,P0162,11,1413,0.001347541809082,0.4787819317108153,0.4088235294117647,0.025096525096525,1,True,overlap,low_mask_area,overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,20
116,P0162_0003.png,P0162_0003.png,P0162_0003,P0162,11,1479,0.0014104843139648,0.5058668323824944,0.44,0.025096525096525,1,True,overlap,low_mask_area,overlap__low_mask_area,train,0.011932373046875,mask_area,0.0,0.001,False,21
